code,ratio
150181,0.5
150171,0.5
150152,0.5
150227,0.5
150018,0.5
150235,0.5
150223,0.5
150117,0.5
150209,0.5
150200,0.5
150221,0.5
502011,0.5
150184,0.5
150157,0.5
150130,0.5
150194,0.5
150196,0.5
150205,0.5
150051,0.5
150177,0.5
150261,0.5
150022,0.5
150243,0.5
150123,0.5
150211,0.5
502004,0.5
150231,0.5
150192,0.5
150265,0.5
150100,0.5
150343,0.5
150219,0.5
502049,0.5
150096,0.5
150203,0.5
150329,0.5
150085,0.5
150198,0.5
150303,0.5
150299,0.5
150106,0.5
150335,0.5
150190,0.5
150186,0.5
150275,0.5
150301,0.5
150173,0.5
150291,0.5
150315,0.5
502037,0.5
150217,0.5
150241,0.5
150251,0.5
150317,0.5
502054,0.5
502007,0.5
150289,0.5
150325,0.5
150277,0.5
150295,0.5
150028,0.4
150179,0.5
150012,0.4
150281,0.5
150321,0.5
150269,0.5
150150,0.5
150213,0.5
150207,0.5
150247,0.5
150287,0.5
150229,0.5
150225,0.5
502057,0.5
150249,0.5
150059,0.4
150267,0.5
502014,0.5
150323,0.5
150255,0.5
150237,0.5
150305,0.5
150331,0.5
150259,0.5
502031,0.5
150148,0.5
150307,0.5
150245,0.5
150215,0.5
150297,0.5
150030,0.5
150283,0.5
150309,0.5
150108,0.5
150311,0.5
150273,0.5
150083,0.5
150257,0.5
150135,0.5
150090,0.5
150293,0.5
150279,0.5
150327,0.5
150104,0.5
502041,0.5
150233,0.5
150167,0.5
150008,0.5
150271,0.5
150140,0.5
150112,0.5
150057,0.4
502024,0.5
150094,0.5
150073,0.4
502021,0.5
150263,0.5
150088,0.5
502001,0.5
150076,0.5
150138,0.5
150053,0.4
150145,0.5
150121,0.5
150092,0.5
150064,0.4
502017,0.5
150055,0.4
150285,0.5
150349,0.5
150239,0.5
150253,0.5
150357,0.5
150313,0.5
502027,0.5
150319,0.5
150333,0.5
150351,0.5
150353,0.5
