1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
502004,150235,150243,150171,150130,150251,150018,150233,150205,150051,150211,150303,150221,150194,150299,150323,150196,150225,150247,150315
150181,150343,150152,,,,,,,150140,,,,150245,150291,150184,,150177,150203,
150335,502011,,,,,,,,150167,,,,,150255,150190,,,,
150186,150200,,,,,,,,150104,,,,,150267,150237,,,,
,150223,,,,,,,,150076,,,,,150249,,,,,
,150301,,,,,,,,,,,,,150227,,,,,
,502054,,,,,,,,,,,,,150241,,,,,
